# SwiftFloris — Zipf-scale frequency table (Italian)
# ROADMAP §7 Next-3.2 / docs/archive/SWIFTKEY_PARITY_ROADMAP_2026-05-17 §B1.
# Generated from rspeer/wordfreq 3.1.1 top_n_list + zipf_frequency output.
# Zipf values generated from rspeer/wordfreq 3.1.1 (Apache-2.0); one word<TAB>zipf line per entry.
# Seed top-1000 table; full corpus-sized tables belong in dictionary-pack addons.
di	7.59
e	7.46
che	7.36
il	7.32
la	7.30
a	7.21
in	7.21
non	7.16
un	7.16
per	7.15
è	7.10
del	6.99
l	6.99
i	6.94
una	6.94
le	6.90
si	6.88
con	6.87
della	6.86
da	6.84
sono	6.80
ma	6.73
al	6.71
ha	6.69
come	6.67
più	6.63
dei	6.61
se	6.61
nel	6.59
mi	6.58
alla	6.53
anche	6.52
lo	6.52
gli	6.51
delle	6.49
o	6.48
questo	6.46
ho	6.45
ci	6.42
su	6.38
ad	6.36
dal	6.33
solo	6.33
essere	6.32
io	6.32
nella	6.32
ti	6.31
cui	6.27
d	6.26
era	6.25
stato	6.25
quando	6.24
tutti	6.24
ed	6.23
questa	6.23
c	6.22
tutto	6.21
cosa	6.20
hanno	6.20
tra	6.20
fatto	6.19
prima	6.19
suo	6.19
loro	6.18
parte	6.18
perché	6.18
anni	6.17
due	6.17
sia	6.17
sua	6.17
ai	6.15
fare	6.15
così	6.14
dalla	6.14
degli	6.14
dopo	6.13
sul	6.13
alle	6.12
uno	6.12
ne	6.10
poi	6.10
quello	6.10
sempre	6.10
fa	6.09
me	6.09
chi	6.08
ancora	6.07
molto	6.07
senza	6.04
mai	6.03
ogni	6.03
altri	6.02
ora	6.02
mio	6.01
può	6.01
quanto	6.00
mia	5.98
sulla	5.98
tempo	5.98
dove	5.97
vita	5.97
nei	5.96
no	5.96
già	5.95
sei	5.95
quella	5.94
quindi	5.94
secondo	5.94
hai	5.93
proprio	5.93
altro	5.92
bene	5.92
grazie	5.92
lavoro	5.91
modo	5.91
dai	5.90
noi	5.90
nelle	5.89
vi	5.89
casa	5.88
persone	5.88
qui	5.87
sta	5.87
te	5.87
volta	5.87
dire	5.86
italia	5.86
tu	5.86
giorno	5.85
mondo	5.85
questi	5.84
stata	5.84
lui	5.83
siamo	5.83
stesso	5.83
via	5.83
cose	5.82
grande	5.82
primo	5.82
contro	5.81
de	5.81
caso	5.80
li	5.80
mentre	5.80
tutte	5.80
abbiamo	5.79
